latitude,longitude,total_rooms,house_value
37.88,-122.23,880,452600
37.86,-122.22,7099,358500
37.85,-122.24,1467,352100
37.85,-122.25,1274,341300
37.85,-122.25,1627,342200
37.85,-122.25,919,269700
37.84,-122.25,2535,299200
37.84,-122.25,3104,241400
37.84,-122.26,2555,226700
37.84,-122.25,3549,261100
37.85,-122.26,2202,281500
37.85,-122.26,3503,241800
37.85,-122.26,2491,213500
37.84,-122.26,696,191300
37.85,-122.26,2643,159200
37.85,-122.26,1120,140000
37.85,-122.27,1966,152500
37.85,-122.27,1228,155500
37.84,-122.26,2239,158700
37.84,-122.27,1503,162900
37.85,-122.27,751,147500
37.85,-122.27,1639,159800
37.84,-122.27,2436,113900
37.84,-122.27,1688,99700
37.84,-122.27,2224,132600
37.85,-122.28,535,107500
37.85,-122.28,1130,93800
37.85,-122.28,1898,105500
37.84,-122.28,2082,108900
37.84,-122.28,729,132000
37.84,-122.28,1916,122300
37.84,-122.28,2153,115200
37.84,-122.27,1922,110400
37.83,-122.27,1655,104900
37.83,-122.27,2665,109700
37.83,-122.27,1215,97200
37.83,-122.27,1798,104500
37.83,-122.28,1511,103900
37.83,-122.26,1470,191400
37.83,-122.26,2432,176000
37.83,-122.26,1665,155400
37.83,-122.26,936,150000
37.84,-122.26,713,118800
37.84,-122.26,950,188800
37.83,-122.26,1443,184400
37.83,-122.26,1656,182300
37.83,-122.26,1125,142500
37.82,-122.27,1007,137500
37.82,-122.26,624,187500
37.82,-122.27,946,112500
37.82,-122.27,896,171900
37.82,-122.27,1868,93800
37.82,-122.27,3221,97500
37.82,-122.27,1630,104200
37.82,-122.28,1170,87500
37.82,-122.28,945,83100
37.82,-122.28,1238,87500
37.82,-122.28,1489,85300
37.82,-122.28,1387,80300
37.82,-122.29,158,60000
37.83,-122.29,1121,75700
37.82,-122.29,135,75000
37.81,-122.29,760,86100
37.81,-122.3,1224,76100
37.81,-122.3,828,73500
37.81,-122.3,1010,78400
37.81,-122.3,1455,84400
37.8,-122.29,1027,81300
37.81,-122.3,572,85000
37.81,-122.29,2801,129200
37.81,-122.29,768,82500
37.81,-122.29,935,95200
37.81,-122.29,844,75000
37.81,-122.29,12,67500
37.81,-122.29,835,137500
